★ Flip Knife | Ultraviolet (Field-Tested)
Glock-18 | Twilight Galaxy (Minimal Wear)
MAC-10 | Malachite (Well-Worn)
Sticker | Lucky 13 (Foil)
★ Flip Knife | Safari Mesh (Minimal Wear)
★ Bayonet | Case Hardened (Minimal Wear)
★ Driver Gloves | Overtake (Field-Tested)
StatTrak™ P250 | Wingshot (Well-Worn)
StatTrak™ MP7 | Nemesis (Minimal Wear)
ESL One Cologne 2014 Challengers
StatTrak™ M249 | Warbird (Field-Tested)
StatTrak™ UMP-45 | Riot (Well-Worn)
AK-47 | Rat Rod (Field-Tested)
StatTrak™ SG 553 | Triarch (Field-Tested)
StatTrak™ Tec-9 | Ice Cap (Field-Tested)
StatTrak™ AK-47 | Rat Rod (Field-Tested)
AK-47 | Rat Rod (Battle-Scarred)
M4A4 | The Emperor (Well-Worn)
StatTrak™ Tec-9 | Ice Cap (Minimal Wear)
AK-47 | Baroque Purple (Minimal Wear)
AK-47 | Rat Rod (Minimal Wear)
StatTrak™ AWP | Atheris (Factory New)
AWP | Fever Dream (Factory New)
Tec-9 | Decimator (Field-Tested)
StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn)
★ M9 Bayonet | Ultraviolet (Field-Tested)
Sealed Graffiti | Rly (Blood Red)
StatTrak™ R8 Revolver | Memento (Field-Tested)
Desert Eagle | Kumicho Dragon (Factory New)
USP-S | Overgrowth (Factory New)
Sticker | coldzera | Cologne 2015
StatTrak™ MP5-SD | Acid Wash (Field-Tested)
StatTrak™ CZ75-Auto | Yellow Jacket (Field-Tested)
Negev | Loudmouth (Well-Worn)
AK-47 | Baroque Purple (Battle-Scarred)
SG 553 | Candy Apple (Minimal Wear)
StatTrak™ MP5-SD | Acid Wash (Minimal Wear)
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear)
SG 553 | Candy Apple (Factory New)
ESL One Cologne 2014 Legends
SG 553 | Colony IV (Field-Tested)
StatTrak™ G3SG1 | Black Sand (Field-Tested)
Tec-9 | Fuel Injector (Minimal Wear)
AUG | Arctic Wolf (Factory New)
P2000 | Obsidian (Field-Tested)
StatTrak™ R8 Revolver | Memento (Minimal Wear)
USP-S | Pathfinder (Factory New)
StatTrak™ AWP | Hyper Beast (Well-Worn)
StatTrak™ AK-47 | Rat Rod (Minimal Wear)
SSG 08 | Bloodshot (Field-Tested)
AWP | Fever Dream (Minimal Wear)
G3SG1 | Arctic Camo (Field-Tested)
AK-47 | Rat Rod (Factory New)
"Music Kit | Daniel Sadowski, Crimson Assault"
SG 553 | Colony IV (Well-Worn)
★ Talon Knife | Blue Steel (Field-Tested)
XM1014 | VariCamo Blue (Factory New)
Sealed Graffiti | Oops (Blood Red)
XM1014 | Scumbria (Well-Worn)
Sticker | Pocket BBQ
AK-47 | Hydroponic (Field-Tested)
AUG | Arctic Wolf (Minimal Wear)
StatTrak™ SSG 08 | Bloodshot (Field-Tested)
StatTrak™ SG 553 | Cyrex (Well-Worn)
MP9 | Dart (Well-Worn)
Tec-9 | Decimator (Minimal Wear)
StatTrak™ SSG 08 | Necropos (Battle-Scarred)
StatTrak™ MAC-10 | Lapis Gator (Minimal Wear)
M4A1-S | Moss Quartz (Field-Tested)
Sealed Graffiti | Virtus.Pro | Krakow 2017
M4A1-S | Flashback (Field-Tested)
M4A1-S | Hyper Beast (Factory New)
Tec-9 | Avalanche (Well-Worn)
M4A1-S | Moss Quartz (Factory New)
XM1014 | Teclu Burner (Field-Tested)
MAG-7 | Chainmail (Factory New)
StatTrak™ SG 553 | Aerial (Factory New)
G3SG1 | Demeter (Well-Worn)
StatTrak™ XM1014 | Scumbria (Well-Worn)
Tec-9 | Ice Cap (Minimal Wear)
MP9 | Green Plaid (Factory New)
